,race,sexo,edad,zona_u_r,iden_pol_2,iden_pol_3,interes_pol_1_b,elec_pres_144_a,nom_region,religion_82,esc_nivel_1,gse,pred
387,2,2,39,3,4,2,2,0,34,11,5,12,0
388,1,2,57,1,2,1,2,0,6,11,6,5,0
389,1,1,41,3,5,6,2,1,12,1,7,20,1
390,1,1,73,1,99,1,2,0,9,2,3,7,0
391,1,2,69,3,4,5,3,1,36,1,7,13,1
392,3,2,50,3,5,2,2,1,17,2,4,15,0
393,1,1,67,4,4,6,2,0,26,2,4,13,1
394,1,2,63,2,2,1,1,0,24,10,5,18,0
395,1,2,80,2,2,1,3,0,37,10,4,8,0
396,2,2,55,4,2,1,1,0,20,11,3,9,0
397,1,2,34,2,6,7,3,1,40,11,2,5,1
398,1,1,70,1,4,2,2,0,36,1,2,10,0
399,1,1,73,3,5,1,2,0,17,10,8,9,0
400,1,1,64,2,6,7,2,1,17,1,6,19,1
401,1,2,30,1,4,6,2,1,5,11,6,17,1
402,1,2,78,1,7,6,1,1,48,1,3,8,1
403,1,2,80,4,4,5,4,1,27,1,7,9,1
404,1,2,57,4,4,3,2,0,17,1,1,5,0
405,1,2,80,2,6,7,1,1,36,1,2,9,1
406,1,1,50,2,6,6,2,1,1,1,2,16,1
407,1,1,48,3,2,1,1,0,17,1,6,13,0
408,1,2,71,3,4,1,2,0,8,2,2,-9,0
409,1,1,64,2,6,7,1,1,53,1,5,7,1
410,1,1,47,1,7,7,2,1,26,1,3,22,1
411,1,1,64,3,2,2,3,0,17,11,6,22,0
412,1,1,80,4,2,1,2,0,42,5,8,22,0
413,2,1,48,4,4,1,2,0,12,11,2,8,0
414,1,1,26,4,1,1,1,0,51,2,6,15,0
415,1,1,48,2,99,7,2,1,42,2,2,7,1
416,1,2,62,4,4,1,2,0,37,1,6,15,0
417,1,1,41,3,3,1,2,0,17,2,3,15,0
418,1,2,47,2,7,7,2,1,36,1,6,19,1
419,1,2,58,3,2,1,2,0,12,12,6,20,0
420,1,2,20,1,3,3,2,0,54,11,3,1,0
421,1,2,80,4,6,7,2,1,42,1,3,16,1
422,1,1,33,3,6,7,2,1,36,9,7,19,1
423,1,2,53,2,4,1,2,0,59,2,2,20,0
424,1,2,36,3,2,2,2,0,26,12,6,16,0
425,1,2,27,4,4,4,3,0,48,12,2,13,0
426,1,1,62,4,4,3,2,0,55,12,8,22,0
427,3,2,42,4,6,7,1,1,48,1,6,9,1
428,1,1,79,4,4,2,2,0,36,5,3,17,0
